Point	Potential(mV)	Current(microAmp)
449	-489.567667245865	-337.95228227973
450	-494.563668966293	-336.078781401739
451	-499.559670686722	-334.298907546327
452	-495.42236328125	-324.681488564238
453	-490.426331758499	-319.654209306464
454	-485.508412122726	-315.4075529892
455	-480.434328317642	-311.535608489066
456	-475.516378879547	-307.913462165743
457	-470.520377159119	-304.50988560915
458	-465.52437543869	-301.262451102957
459	-460.450291633606	-298.171129543334
460	-455.532342195511	-295.173493213952
461	-450.536340475082	-292.300770524889
462	-445.540338754654	-289.552932372317
463	-440.466284751892	-286.805094219744
464	-435.470253229141	-284.213398117572
465	-430.474251508713	-281.68412973173
466	-425.400197505951	-279.186118859798
467	-420.482248067856	-276.750535704196
468	-415.486246347427	-274.408608675003
469	-410.412162542343	-272.035482339561
470	-405.416160821915	-269.756041234359
471	-400.49821138382	-267.570256255567
472	-395.502209663391	-265.322043560445
473	-390.428125858307	-263.198715401813
474	-385.510176420212	-261.044158833101
475	-380.43612241745	-258.95205908455
476	-375.440120697021	-256.922416156158
477	-370.444118976593	-254.892744123936
478	-365.448087453842	-252.831872785464
479	-360.452085733414	-250.864686677232
480	-355.456084012985	-248.92869987525
481	-350.460082292557	-246.961513767019
482	-345.464080572128	-245.056755375117
483	-340.389996767044	-243.120768573135
484	-335.393995046616	-241.216010181233
485	-330.476045608521	-239.342494751327
486	-325.401991605759	-237.500193179585
487	-320.484042167664	-235.626677749678
488	-315.409958362579	-233.784376177937
489	-310.413956642151	-231.910846196115
490	-305.417954921722	-230.068559176289
491	-300.500005483627	-228.257486014627
492	-295.504003763199	-226.383956032805
493	-290.50800204277	-224.572882871144
494	-285.433918237686	-222.699367441237
495	-280.359834432602	-220.888294279575
496	-275.519967079163	-219.077221117914
497	-270.445883274078	-217.266147956252
498	-265.44988155365	-215.36138956435
499	-260.375827550888	-213.519102544524
500	-255.457878112793	-211.676800972782
501	-250.383824110031	-209.83449940104
502	-245.38779258728	-207.960969419219
503	-240.391790866852	-206.118682399392
504	-235.395789146423	-204.21392400749
505	-230.477839708328	-202.371636987664
506	-225.4818379879	-200.498107005842
507	-220.48582136631	-198.562134755775
508	-215.411752462387	-196.626162505709
509	-210.493803024292	-194.721404113807
510	-205.419734120369	-192.81666027382
511	-200.42373239994	-190.880688023753
512	-195.427730679512	-188.882258953527
513	-190.431714057922	-186.883844435215
514	-185.435712337494	-184.854186954908
515	-180.361643433571	-182.855757884681
516	-175.443693995476	-180.82611495629
